0,ID,Lat,Lon,,,,,,,,,,,,,
97,DE-Akm,53.86617,13.68342,,,,,,,,,,,,,
98,DE-Geb,51.09973,10.91463,,,,,,,,,,,,,
99,DE-Gri,50.95004,13.51259,,,,,,,,,,,,,
100,DE-Hai,51.07941,10.45209,,,,,,,,,,,,,
101,DE-HoH,52.08656,11.22235,,,,,,,,,,,,,
102,DE-Hte,54.210278,12.176111,,,,,,,,,,,,,
103,DE-Hzd,50.96381,13.48978,,,,,,,,,,,,,
104,DE-Kli,50.89306,13.52238,,,,,,,,,,,,,
105,DE-Lkb,49.0996,13.3047,,,,,,,,,,,,,
106,DE-Lnf,51.3282,10.3678,,,,,,,,,,,,,
107,DE-Obe,50.78666,13.72129,,,,,,,,,,,,,
108,DE-RuR,50.62191,6.30413,,,,,,,,,,,,,
109,DE-RuS,50.86591,6.44714,,,,,,,,,,,,,
110,DE-RuW,50.50493,6.33096,,,,,,,,,,,,,
111,DE-Seh,50.8706,6.4497,,,,,,,,,,,,,
112,DE-SfN,47.8064,11.3275,,,,,,,,,,,,,
113,DE-Spw,51.8922,14.0337,,,,,,,,,,,,,
114,DE-Tha,50.96256,13.56515,,,,,,,,,,,,,
115,DE-Zrk,53.8759,12.889,,,,,,,,,,,,,
116,DK-Eng,55.6905,12.1918,,,,,,,,,,,,,
117,DK-Fou,56.4842,9.5872,,,,,,,,,,,,,
118,DK-Gds,56.0737,9.3341,,,,,,,,,,,,,
119,DK-Sor,55.48587,11.64465,,,,,,,,,,,,,
120,ES-Abr,38.701839,-6.785881,,,,,,,,,,,,,
121,ES-Agu,36.940046,-2.033208,,,,,,,,,,,,,
122,ES-Amo,36.8336,-2.2523,,,,,,,,,,,,,
123,ES-Cnd,37.914998,-3.227659,,,,,,,,,,,,,
124,ES-LgS,37.0979,-2.9658,,,,,,,,,,,,,
125,ES-Lju,36.92659,-2.75212,,,,,,,,,,,,,
126,ES-LM1,39.94269,-5.778683,,,,,,,,,,,,,
127,ES-LM2,39.934592,-5.775881,,,,,,,,,,,,,
128,ES-Ln2,36.9695,-3.4758,,,,,,,,,,,,,
129,FI-Hyy,61.84741,24.29477,,,,,,,,,,,,,
130,FI-Jok,60.8986,23.5134,,,,,,,,,,,,,
131,FI-Ken,67.98721,24.24301,,,,,,,,,,,,,
132,FI-Let,60.64183,23.95952,,,,,,,,,,,,,
133,FI-Lom,67.9972,24.2092,,,,,,,,,,,,,
134,FI-Qvd,60.29524,22.39161,,,,,,,,,,,,,
135,FI-Sii,61.83265,24.19285,,,,,,,,,,,,,
136,FI-Sod,67.3624,26.6386,,,,,,,,,,,,,
137,FI-Var,67.75490,29.61000,,,,,,,,,,,,,
138,FR-Aur,43.54965,1.10610,,,,,,,,,,,,,
139,FR-Bil,44.49365,-0.95609,,,,,,,,,,,,,
140,FR-EM2,49.87211,3.02065,,,,,,,,,,,,,
141,FR-FBn,43.24079,5.67865,,,,,,,,,,,,,
142,FR-Fon,48.47636,2.78010,,,,,,,,,,,,,
143,FR-Gri,48.84422,1.95191,,,,,,,,,,,,,
144,FR-Hes,48.67410,7.06465,,,,,,,,,,,,,
145,FR-Lam,43.49644,1.23788,,,,,,,,,,,,,
146,FR-LBr,44.7171,-0.7693,,,,,,,,,,,,,
147,FR-LGt,47.32292,2.28410,,,,,,,,,,,,,
148,FR-Pue,43.7413,3.5957,,,,,,,,,,,,,
149,FR-Tou,43.57286,1.37474,,,,,,,,,,,,,
150,GF-Guy,5.27870,-52.92480,,,,,,,,,,,,,
151,GH-Ank,5.2685,-2.6942,,,,,,,,,,,,,
152,GL-Dsk,69.25349,-53.51413,,,,,,,,,,,,,
153,GL-NuF,64.1308,-51.3861,,,,,,,,,,,,,
154,GL-ZaF,74.4814,-20.5545,,,,,,,,,,,,,
155,GL-ZaH,74.4733,-20.5503,,,,,,,,,,,,,
156,IE-Cra,53.32309,-7.64177,,,,,,,,,,,,,
157,IL-Yat,31.34504,35.05199,,,,,,,,,,,,,
158,IT-BCi,40.52375,14.95744,,,,,,,,,,,,,
159,IT-BFt,45.19775,10.74197,,,,,,,,,,,,,
160,IT-CA1,42.3804,12.0266,,,,,,,,,,,,,
161,IT-CA2,42.3772,12.026,,,,,,,,,,,,,
162,IT-CA3,42.38,12.0222,,,,,,,,,,,,,
163,IT-Col,41.8494,13.5881,,,,,,,,,,,,,
164,IT-Cp2,41.70427,12.35729,,,,,,,,,,,,,
165,IT-Cpz,41.7052,12.3761,,,,,,,,,,,,,
166,IT-Isp,45.8126,8.6336,,,,,,,,,,,,,
167,IT-La2,45.9542,11.2853,,,,,,,,,,,,,
168,IT-Lav,45.9542,11.2853,,,,,,,,,,,,,
169,IT-Lsn,45.74048,12.75030,,,,,,,,,,,,,
170,IT-MBo,46.01468,11.04583,,,,,,,,,,,,,
171,IT-Noe,40.6062,8.1517,,,,,,,,,,,,,
172,IT-PT1,45.2009,9.061,,,,,,,,,,,,,
173,IT-Ren,46.58686,11.43369,,,,,,,,,,,,,
174,IT-Ro1,42.4081,11.93,,,,,,,,,,,,,
175,IT-Ro2,42.3903,11.9209,,,,,,,,,,,,,
176,IT-SR2,43.73202,10.29091,,,,,,,,,,,,,
177,IT-SRo,43.7279,10.2844,,,,,,,,,,,,,
178,IT-Tor,45.84444,7.57806,,,,,,,,,,,,,
179,JP-MBF,44.3869,142.3186,,,,,,,,,,,,,
180,JP-SMF,35.2617,137.0788,,,,,,,,,,,,,
181,MX-Tes,27.8446,-109.2977,,,,,,,,,,,,,
182,MY-PSO,2.973,102.3062,,,,,,,,,,,,,
183,NL-Hor,52.2403,5.0713,,,,,,,,,,,,,
